iter	Passed	Remaining
202	5037	7370
203	5063	7347
204	5087	7321
205	5112	7296
206	5137	7272
207	5163	7248
208	5188	7224
209	5213	7199
210	5236	7172
211	5263	7149
212	5287	7124
213	5312	7100
214	5337	7075
215	5362	7050
216	5386	7024
217	5411	6999
218	5435	6974
219	5461	6950
220	5486	6926
221	5511	6901
222	5537	6878
223	5564	6856
224	5589	6831
225	5613	6806
226	5639	6782
227	5664	6757
228	5689	6732
229	5712	6706
230	5738	6682
231	5762	6656
232	5789	6634
233	5814	6609
234	5839	6584
235	5863	6559
236	5888	6534
237	5914	6510
238	5939	6485
239	5964	6461
240	5989	6436
241	6014	6412
242	6040	6388
243	6064	6362
244	6090	6338
245	6114	6313
246	6138	6288
247	6163	6262
248	6188	6238
249	6214	6214
250	6240	6190
251	6264	6165
252	6289	6140
253	6315	6116
254	6341	6092
255	6365	6067
256	6391	6042
257	6415	6017
258	6440	5992
259	6468	5970
260	6493	5946
261	6517	5920
262	6541	5894
263	6566	5870
264	6592	5845
265	6616	5820
266	6641	5795
267	6675	5778
268	6699	5752
269	6723	5727
270	6748	5702
271	6774	5678
272	6799	5653
273	6824	5629
274	6853	5607
275	6878	5582
276	6903	5557
277	6928	5532
278	6953	5507
279	6978	5482
280	7002	5457
281	7028	5433
282	7054	5409
283	7082	5386
284	7107	5361
285	7132	5336
286	7157	5311
287	7183	5287
288	7209	5263
289	7257	5255
290	7282	5230
291	7305	5203
292	7330	5178
293	7357	5155
294	7383	5130
295	7410	5107
296	7435	5082
297	7460	5057
298	7485	5032
299	7518	5012
300	7543	4987
301	7569	4963
302	7594	4937
303	7620	4913
304	7645	4888
305	7670	4863
306	7694	4837
307	7719	4811
308	7744	4786
309	7768	4761
310	7793	4736
311	7819	4711
312	7846	4687
313	7879	4667
314	7904	4642
315	7929	4616
316	7953	4591
317	7980	4567
318	8007	4543
319	8032	4518
320	8056	4492
321	8082	4468
322	8107	4442
323	8132	4417
324	8157	4392
325	8182	4367
326	8205	4341
327	8229	4315
328	8254	4290
329	8280	4265
330	8306	4240
331	8331	4216
332	8356	4190
333	8381	4165
334	8406	4140
335	8430	4115
336	8455	4089
337	8479	4064
338	8504	4039
339	8529	4014
340	8554	3988
341	8578	3963
342	8603	3937
343	8628	3913
344	8654	3888
345	8679	3863
346	8707	3839
347	8740	3817
348	8766	3793
349	8791	3767
350	8816	3742
351	8842	3717
352	8867	3692
353	8891	3667
354	8916	3641
355	8940	3616
356	8964	3590
357	8988	3565
358	9014	3540
359	9039	3515
360	9063	3489
361	9086	3464
362	9111	3438
363	9136	3413
364	9161	3388
365	9185	3363
366	9210	3337
367	9236	3313
368	9262	3288
369	9286	3262
370	9311	3237
371	9338	3213
372	9363	3188
373	9387	3162
374	9411	3137
375	9436	3112
376	9461	3086
377	9485	3061
378	9509	3035
379	9534	3010
380	9560	2985
381	9584	2960
382	9608	2935
383	9635	2910
384	9660	2885
385	9684	2860
386	9708	2834
387	9734	2810
388	9761	2785
389	9786	2760
390	9811	2735
391	9838	2710
392	9864	2685
393	9889	2660
394	9915	2635
395	9940	2610
396	9968	2586
397	9992	2560
398	10018	2535
399	10042	2510
400	10068	2485
401	10094	2460
402	10119	2435
403	10144	2410
404	10169	2385
405	10193	2359
406	10218	2334
407	10242	2309
408	10266	2284
409	10291	2259
410	10316	2233
411	10339	2208
412	10363	2183
413	10402	2160
414	10427	2135
415	10452	2110
416	10479	2085
417	10505	2060
418	10529	2035
419	10554	2010
420	10579	1985
421	10606	1960
422	10631	1935
423	10656	1910
424	10682	1885
425	10707	1859
426	10733	1834
427	10769	1811
428	10802	1787
429	10828	1762
430	10854	1737
431	10880	1712
432	10904	1687
433	10930	1662
434	10955	1636
435	10980	1611
436	11005	1586
437	11031	1561
438	11058	1536
439	11083	1511
440	11108	1486
441	11133	1460
442	11157	1435
443	11183	1410
444	11208	1385
445	11234	1360
446	11293	1339
447	11319	1313
448	11345	1288
449	11369	1263
450	11393	1237
451	11417	1212
452	11442	1187
453	11468	1161
454	11494	1136
455	11518	1111
456	11544	1086
457	11570	1061
458	11593	1035
459	11618	1010
460	11643	985
461	11668	959
462	11692	934
463	11717	909
464	11743	883
465	11768	858
466	11793	833
467	11819	808
468	11843	782
469	11868	757
470	11892	732
471	11917	706
472	11942	681
473	11968	656
474	11993	631
475	12019	606
476	12045	580
477	12070	555
478	12106	530
479	12131	505
480	12155	480
481	12180	454
482	12204	429
483	12229	404
484	12254	378
485	12278	353
486	12306	328
487	12332	303
488	12356	277
489	12381	252
490	12407	227
491	12435	202
492	12461	176
493	12485	151
494	12510	126
495	12535	101
496	12574	75
497	12598	50
498	12624	25
499	12650	0
